Comment[SystematicName]	Comment[GENE_SYMBOL]	Comment[GENE_NAME]	Comment[CYTOBAND]
NM_001164457	ZNF705G	zinc finger protein 705G	hs|8p23.1
NM_001173408	OBSL1	obscurin-like 1	hs|2q35
NR_037858	LOC254128	uncharacterized LOC254128	hs|2q14.3
NM_018691	FAM114A2	family with sequence similarity 114, member A2	hs|5q33.2
NM_173598	KSR2	kinase suppressor of ras 2	hs|12q24.22
ENST00000428984	UBE3A	ubiquitin protein ligase E3A	hs|15q11.2
NM_025212	CXXC4	CXXC finger protein 4	hs|4q24
TCONS_00006375	XLOC_002995		hs|3q29
XR_132652	LOC100506694		hs|19q11
NM_133484	TANK	TRAF family member-associated NFKB activator	hs|2q24.2
ENST00000316005	PKN2	protein kinase N2	hs|1p22.2
NR_003287	RN28S1	RNA, 28S ribosomal 1	
NM_145010	ENKUR	enkurin, TRPC channel interacting protein	hs|10p12.1
NM_016207	CPSF3	cleavage and polyadenylation specific factor 3, 73kDa	hs|2p25.1
NR_029401	LOC731275	uncharacterized LOC731275	hs|1q43
NM_001005197	OR8D4	olfactory receptor, family 8, subfamily D, member 4	hs|11q24.1
NM_004976	KCNC1	potassium voltage-gated channel, Shaw-related subfamily, member 1	hs|11p15.1
NM_001044385	TMEM237	transmembrane protein 237	hs|2q33.1
XR_109949	LOC100507201	uncharacterized LOC100507201	hs|2p12
ENST00000450270	XLOC_008416		hs|10p12.1
NM_007224	NXPH4	neurexophilin 4	hs|12q13.3
NM_004261	SEP15	15 kDa selenoprotein	hs|1p22.3
BC043205	C8orf50	chromosome 8 open reading frame 50	hs|8p21.1
NR_040020	LOC400620	uncharacterized LOC400620	hs|17q25.1
XR_110380	LOC100507033	uncharacterized LOC100507033	hs|3q29
NM_015070	ZC3H13	zinc finger CCCH-type containing 13	hs|13q14.13
NM_006188	OCM2	oncomodulin 2	hs|7q21.3
NM_001204	BMPR2	bone morphogenetic protein receptor, type II (serine/threonine kinase)	hs|2q33.2
NM_178134	CYP4Z1	cytochrome P450, family 4, subfamily Z, polypeptide 1	hs|1p33
TCONS_00011816	XLOC_005290		hs|6p21.1
EF011068			
ENST00000515364	XLOC_004966		hs|5q23.1
NM_001025252	TPD52	tumor protein D52	hs|8q21.13
DQ883642			
ENST00000422010	XLOC_007422		hs|9q21.32
NM_133633	SYN3	synapsin III	hs|22q12.3
NR_024032	LINC00474	long intergenic non-protein coding RNA 474	hs|9q33.1
NM_178424	SOX30	SRY (sex determining region Y)-box 30	hs|5q33.3
TCONS_00026425	XLOC_012771		hs|18p11.21
DQ459430			
NM_031989	PCBP2	poly(rC) binding protein 2	hs|12q13.13
TCONS_00023668	XLOC_011469		hs|15q21.1
TCONS_00002856	XLOC_001398		hs|2p23.3
TCONS_00009772	XLOC_004980		hs|5q23.2
NM_001982	ERBB3	v-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)	hs|12q13.2
NM_000327	ROM1	retinal outer segment membrane protein 1	hs|11q12.3
NM_181790	GPR142	G protein-coupled receptor 142	hs|17q25.1
NM_170746	C11orf31	chromosome 11 open reading frame 31	hs|11q12.1
X81001			hs|6p22.1
NM_145175	FAM84A	family with sequence similarity 84, member A	hs|2p24.3
ENST00000444137	XLOC_008881		hs|10q23.1
NM_020524	PBXIP1	pre-B-cell leukemia homeobox interacting protein 1	hs|1q21.3
E1A_r60_a107			
E1A_r60_n11			
NM_004939	DDX1	DEAD (Asp-Glu-Ala-Asp) box polypeptide 1	hs|2p24.3
NM_006340	BAIAP2	BAI1-associated protein 2	hs|17q25.3
NM_144582	TEX261	testis expressed 261	hs|2p13.3
NM_144719	CCDC13	coiled-coil domain containing 13	hs|3p22.1
NM_002949	MRPL12	mitochondrial ribosomal protein L12	hs|17q25.3
NM_004475	FLOT2	flotillin 2	hs|17q11.2
NM_019005	MIOS	missing oocyte, meiosis regulator, homolog (Drosophila)	hs|7p21.3
NM_032663	USP30	ubiquitin specific peptidase 30	hs|12q24.11
NM_005410	SEPP1	selenoprotein P, plasma, 1	hs|5p12
ENST00000504755	XLOC_004120		hs|4q31.23
NM_005080	XBP1	X-box binding protein 1	hs|22q12.1
NM_145803	TRAF6	TNF receptor-associated factor 6	hs|11p12
NM_022068	PIEZO2	piezo-type mechanosensitive ion channel component 2	hs|18p11.22
NM_022470	ZMAT3	zinc finger, matrin-type 3	hs|3q26.32
A_33_P3299047			hs|1p36.13
NM_017693	BIVM	basic, immunoglobulin-like variable motif containing	hs|13q33.1
E1A_r60_a107			
NM_002715	PPP2CA	protein phosphatase 2, catalytic subunit, alpha isozyme	hs|5q31.1
NM_001046	SLC12A2	solute carrier family 12 (sodium/potassium/chloride transporters), member 2	hs|5q23.3
NM_003868	FGF16	fibroblast growth factor 16	hs|Xq21.1
NM_023940	RASL11B	RAS-like, family 11, member B	hs|4q12
DQ516740			
NR_027063	LINC00116	long intergenic non-protein coding RNA 116	hs|2q13
NM_033129	SCRT2	scratch homolog 2, zinc finger protein (Drosophila)	hs|20p13
TCONS_00014314	XLOC_006471		hs|7q11.21
NM_002116	HLA-A	major histocompatibility complex, class I, A	hs|6p22.1
NM_019597	HNRNPH2	heterogeneous nuclear ribonucleoprotein H2 (H')	hs|Xq22.1
TCONS_00004363	XLOC_002243		hs|2q12.1
NM_007018	CNTRL	centriolin	hs|9q33.2
NM_138929	DIABLO	diablo, IAP-binding mitochondrial protein	hs|12q24.31
ENST00000417260	XLOC_l2_000401		hs|1q21.1
NM_033117	RBM18	RNA binding motif protein 18	hs|9q33.2
DQ668365			
NM_184234	RBM39	RNA binding motif protein 39	hs|20q11.22
NM_032300	TCHP	trichoplein, keratin filament binding	hs|12q24.11
NM_018584	CAMK2N1	calcium/calmodulin-dependent protein kinase II inhibitor 1	hs|1p36.12
NM_139312	YME1L1	YME1-like 1 (S. cerevisiae)	hs|10p12.1
TCONS_00016461	XLOC_007827		hs|9q31.3
NR_038288	LOC100507064	uncharacterized LOC100507064	hs|13q12.3
TCONS_00029924	XLOC_014399		hs|22q13.31
NR_004053	SOX2-OT	SOX2 overlapping transcript (non-protein coding)	hs|3q26.33
NM_001042747	FGR	Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog	hs|1p36.11
NM_001002857	ANXA2	annexin A2	hs|15q22.2
A_33_P3217168			hs|1q23.2
NM_025194	ITPKC	inositol-trisphosphate 3-kinase C	hs|19q13.2
THC2774795			hs|16p11.2
NM_206818	OSCAR	osteoclast associated, immunoglobulin-like receptor	hs|19q13.42
NR_040109	LOC100505495	uncharacterized LOC100505495	hs|19q13.2
DQ516784			
NR_026903	AMZ2P1	archaelysin family metallopeptidase 2 pseudogene 1	hs|17q24.1
NM_017437	CPSF2	cleavage and polyadenylation specific factor 2, 100kDa	hs|14q32.12
ENST00000423809			hs|9p13.3
E1A_r60_n9			
NR_027098	LINC00486	long intergenic non-protein coding RNA 486	hs|2p22.3
BC042649	XLOC_010267		hs|12q24.33
NM_024841	PRR5L	proline rich 5 like	hs|11p12
AF521131	MAGI2-IT1	MAGI2 intronic transcript 1 (non-protein coding)	hs|7q21.11
NR_033957	LOC643650	uncharacterized LOC643650	hs|10q11.22
NR_036515	LOC284454	uncharacterized LOC284454	hs|19p13.13
A_33_P3275651			hs|11q11
NM_000625	NOS2	nitric oxide synthase 2, inducible	hs|17q11.2
NM_001024210	S100A13	S100 calcium binding protein A13	hs|1q21.3
TCONS_00001333	XLOC_000628		hs|1q42.3
NM_001279	CIDEA	cell death-inducing DFFA-like effector a	hs|18p11.21
NM_017820	EXD3	exonuclease 3'-5' domain containing 3	hs|9q34.3
BC016831	XLOC_001575		hs|2q11.1
NM_152292	RG9MTD2	RNA (guanine-9-) methyltransferase domain containing 2	hs|4q23
THC2478115	XLOC_014484		hs|6p21.32
NM_001037537	PHYH	phytanoyl-CoA 2-hydroxylase	hs|10p13
XR_108647	LOC100505711	uncharacterized LOC100505711	hs|6p21.1
NM_002651	PI4KB	phosphatidylinositol 4-kinase, catalytic, beta	hs|1q21.3
TCONS_00004690	XLOC_001333		hs|2p25.1
TCONS_00029542	XLOC_014192		hs|22q12.1
DQ883642			
TCONS_00021139	XLOC_009765		hs|12q13.13
NM_133639	RHOV	ras homolog gene family, member V	hs|15q15.1
NM_000559	HBG1	hemoglobin, gamma A	hs|11p15.4
NM_001023563	ZNF805		hs|19q13.43
NM_006419	CXCL13	chemokine (C-X-C motif) ligand 13	hs|4q21.1
XR_110179	LOC100507429	uncharacterized LOC100507429	hs|6q23.3
XR_132650	LOC100506694	uncharacterized LOC100506694	hs|19q11
NM_020639	RIPK4	receptor-interacting serine-threonine kinase 4	hs|21q22.3
ENST00000396049	MOB1A	MOB kinase activator 1A	hs|2p13.1
NR_024368	FLJ45340	uncharacterized LOC402483	hs|7q32.1
NM_004934	CDH18	cadherin 18, type 2	hs|5p14.3
TCONS_00016450	XLOC_007812		hs|9q31.1
NM_003627	SLC43A1	solute carrier family 43, member 1	hs|11q12.1
NM_198567	C5orf25	chromosome 5 open reading frame 25	hs|5q35.2
NM_173179	SLC35C2	solute carrier family 35, member C2	hs|20q13.12
NR_003941	SNORD75	small nucleolar RNA, C/D box 75	hs|1q25.1
NM_001008219	AMY1C	amylase, alpha 1C (salivary)	hs|1p21.1
NM_001004297	OR13A1	olfactory receptor, family 13, subfamily A, member 1	hs|10q11.21
NM_001630	ANXA8L2	annexin A8-like 2	hs|10q11.22
TCONS_00016126	XLOC_007511		hs|9q31.2
NM_003177	SYK	spleen tyrosine kinase	hs|9q22.2
TCONS_l2_00009251	XLOC_l2_005020		hs|15q25.2
NM_007113	TCHH	trichohyalin	hs|1q21.3
AK056786	FLJ32224	uncharacterized LOC440584	hs|1p34.2
NM_001013690	FIGNL2	fidgetin-like 2	hs|12q13.13
NM_004791	ITGBL1	integrin, beta-like 1 (with EGF-like repeat domains)	hs|13q33.1
NM_001955	EDN1	endothelin 1	hs|6p24.1
NM_138362	FAM104B	family with sequence similarity 104, member B	hs|Xp11.21
NM_024298	MBOAT7	membrane bound O-acyltransferase domain containing 7	hs|19q13.42
NM_001004712	OR4K14	olfactory receptor, family 4, subfamily K, member 14	hs|14q11.2
NM_000936	PNLIP	pancreatic lipase	hs|10q25.3
NM_003476	CSRP3	cysteine and glycine-rich protein 3 (cardiac LIM protein)	hs|11p15.1
NM_005486	TOM1L1	target of myb1 (chicken)-like 1	hs|17q22
NR_038926	LOC100505483	uncharacterized LOC100505483	hs|7q36.1
NM_023922	TAS2R14	taste receptor, type 2, member 14	hs|12p13.2
TCONS_00025051	XLOC_012007		hs|16q23.1
NR_002229	RPL23AP32	ribosomal protein L23a pseudogene 32	hs|2p16.2
NM_000405	GM2A	GM2 ganglioside activator	hs|5q33.1
NM_001040715	KIAA0895L	KIAA0895-like	hs|16q22.1
NM_001101339	C12orf77	chromosome 12 open reading frame 77	hs|12p12.1
ENST00000367808	BLZF1	basic leucine zipper nuclear factor 1	hs|1q24.2
NM_001014980	FAM132A	family with sequence similarity 132, member A	hs|1p36.33
AK131376	LOC100132764	uncharacterized LOC100132764	hs|11q23.3
ERCC-00104_60			
NM_024503	HIVEP3	human immunodeficiency virus type I enhancer binding protein 3	hs|1p34.2
NM_017906	PAK1IP1	PAK1 interacting protein 1	hs|6p24.2
NM_005313	PDIA3	protein disulfide isomerase family A, member 3	hs|15q15.3
NM_138801	GALM	galactose mutarotase (aldose 1-epimerase)	hs|2p22.1
DQ668356			
NM_016442	ERAP1	endoplasmic reticulum aminopeptidase 1	hs|5q15
NM_018009	TAPBPL	TAP binding protein-like	hs|12p13.31
NR_003004	SCARNA22	small Cajal body-specific RNA 22	hs|4p16.3
ENST00000453309	XLOC_l2_003626		hs|13q12.11
NM_006200	PCSK5	proprotein convertase subtilisin/kexin type 5	hs|9q21.13
A_33_P3299250			hs|2q24.2
NM_032020	FUCA2	fucosidase, alpha-L- 2, plasma	hs|6q24.2
NM_005793	NME6	non-metastatic cells 6, protein expressed in (nucleoside-diphosphate kinase)	hs|3p21.31
NM_000314	PTEN	phosphatase and tensin homolog	hs|10q23.31
ENST00000427341	XLOC_008713		hs|10p15.1
TCONS_00023296	XLOC_011165		hs|15q11.2
NM_000299	PKP1	plakophilin 1 (ectodermal dysplasia/skin fragility syndrome)	hs|1q32.1
TCONS_00022499	XLOC_010825		hs|14q22.1
NM_001005494	OR6C4	olfactory receptor, family 6, subfamily C, member 4	hs|12q13.2
NM_018993	RIN2	Ras and Rab interactor 2	hs|20p11.23
NM_152349	KRT222	keratin 222	hs|17q21.2
NM_022358	KCNK15	potassium channel, subfamily K, member 15	hs|20q13.12
NM_004649	C21orf33	chromosome 21 open reading frame 33	hs|21q22.3
XR_108997	LOC51145	erythrocyte transmembrane protein	hs|9q33.3
TCONS_00021389	XLOC_010167		hs|12q23.1
NM_012156	EPB41L1	erythrocyte membrane protein band 4.1-like 1	hs|20q11.23
NR_027764	LOC100128023	developmental pluripotency associated 2 pseudogene	hs|3q29
NM_175055	HIST3H2BB	histone cluster 3, H2bb	hs|1q42.13
TCONS_00000964	XLOC_000223		hs|1p32.1
NM_003770	KRT37	keratin 37	hs|17q21.2
NM_145756	ZNF396	zinc finger protein 396	hs|18q12.2
A_24_P7750			hs|5q32
TCONS_00008581	XLOC_004091		hs|4q28.3
NM_000775	CYP2J2	cytochrome P450, family 2, subfamily J, polypeptide 2	hs|1p32.1
NM_000430	PAFAH1B1	platelet-activating factor acetylhydrolase 1b, regulatory subunit 1 (45kDa)	hs|17p13.3
ENST00000521369			hs|8q23.1
NM_001024074	HNMT	histamine N-methyltransferase	hs|2q22.1
ENST00000428222	XLOC_008053		hs|Xq24
ENST00000556913	XLOC_011017		hs|14q21.3
NM_015608	C10orf137	chromosome 10 open reading frame 137	hs|10q26.13
NM_001199142	EIF3C	eukaryotic translation initiation factor 3, subunit C	hs|16p11.2
NM_001003652	SMAD2	SMAD family member 2	hs|18q21.1
NM_014706	SART3	squamous cell carcinoma antigen recognized by T cells 3	hs|12q23.3
ERCC-00062_278			
XR_109422	LOC100507049	uncharacterized LOC100507049	hs|17q24.2
DQ459422			
NM_004807	HS6ST1	heparan sulfate 6-O-sulfotransferase 1	hs|2q14.3
CR936662	ZNF284	zinc finger protein 284	hs|19q13.31
DQ668363			
NR_038988	LOC100287765		hs|Xq22.1
ENST00000498247	XLOC_002691		hs|3p14.1
NM_018237	CCAR1	cell division cycle and apoptosis regulator 1	hs|10q21.3
DQ516782			
NM_024692	CLIP4	CAP-GLY domain containing linker protein family, member 4	hs|2p23.2
XR_109026	LOC645954	supervillin pseudogene	hs|10p11.23
NM_001198834	PDE4DIP	phosphodiesterase 4D interacting protein	hs|1q21.1
NM_017758	ALKBH5	alkB, alkylation repair homolog 5 (E. coli)	hs|17p11.2
TCONS_00021051	XLOC_009650		hs|12p13.31
NM_021155	CD209	CD209 molecule	hs|19p13.2
NM_001004452	OR1J4	olfactory receptor, family 1, subfamily J, member 4	hs|9q33.2
NR_036487	LOC283481	uncharacterized LOC283481	hs|13q33.1
TCONS_l2_00012434	XLOC_l2_006673		hs|19q11
TCONS_00005057	XLOC_001935		hs|2p25.3
NM_145250	RNASE11	ribonuclease, RNase A family, 11 (non-active)	hs|14q11.2
NM_173470	MMGT1	membrane magnesium transporter 1	hs|Xq26.3
AK131474	LOC440082	uncharacterized LOC440082	hs|12p13.2
DQ855001			
NR_023918	LINC00339	long intergenic non-protein coding RNA 339	hs|1p36.12
ENST00000366623	KIAA1804	mixed lineage kinase 4	hs|1q42.2
XR_132779	LOC100653018	uncharacterized LOC100653018	hs|12q12
NM_152416	C8orf38	chromosome 8 open reading frame 38	hs|8q22.1
NM_033414	ZNF622	zinc finger protein 622	hs|5p15.1
BU622976			hs|1q32.1
NM_000251	MSH2	mutS homolog 2, colon cancer, nonpolyposis type 1 (E. coli)	hs|2p21
NM_001065	TNFRSF1A	tumor necrosis factor receptor superfamily, member 1A	hs|12p13.31
DQ883671			
A_33_P3386147			hs|11q14.3
NR_026589	WHAMMP2	WAS protein homolog associated with actin, golgi membranes and microtubules pseudogene 2	hs|15q13.1
NM_002046	GAPDH	glyceraldehyde-3-phosphate dehydrogenase	hs|12p13.31
BC110288	WIPF1	WAS/WASL interacting protein family, member 1	hs|2q31.1
ENST00000416090	XLOC_010494		hs|13q34
NM_152891	PRSS33	protease, serine, 33	hs|16p13.3
DQ883651			
NM_004994	MMP9	matrix metallopeptidase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)	hs|20q13.12
NM_002811	PSMD7	proteasome (prosome, macropain) 26S subunit, non-ATPase, 7	hs|16q23.1
NM_018281	ECHDC2	enoyl CoA hydratase domain containing 2	hs|1p32.3
CD674525			hs|16p13.2
NM_014871	PAN2	PAN2 poly(A) specific ribonuclease subunit homolog (S. cerevisiae)	hs|12q13.3
NM_001008494	ISX	intestine-specific homeobox	hs|22q12.3
NM_007355	HSP90AB1	heat shock protein 90kDa alpha (cytosolic), class B member 1	hs|6p21.1
NM_005486	TOM1L1	target of myb1 (chicken)-like 1	hs|17q22
ERCC-00171_229			
TCONS_00022453	XLOC_010782		hs|14q12
NM_002458	MUC5B	mucin 5B, oligomeric mucus/gel-forming	hs|11p15.5
ENST00000525832	XLOC_009248		hs|11q14.3
NM_003679	KMO	kynurenine 3-monooxygenase (kynurenine 3-hydroxylase)	hs|1q43
NM_001037131	AGAP1	ArfGAP with GTPase domain, ankyrin repeat and PH domain 1	hs|2q37.2
ERCC-00077_121			
NM_007308	SNCA	synuclein, alpha (non A4 component of amyloid precursor)	hs|4q22.1
NM_152763	AKNAD1	AKNA domain containing 1	hs|1p13.3
DQ459415			
NM_139178	ALKBH3	alkB, alkylation repair homolog 3 (E. coli)	hs|11p11.2
NM_001018113	FANCB	Fanconi anemia, complementation group B	hs|Xp22.2
NM_020466	LYRM2	LYR motif containing 2	hs|6q15
BC000988	LINC00260	long intergenic non-protein coding RNA 260	hs|1q32.1
NM_022903	CCDC71	coiled-coil domain containing 71	hs|3p21.31
NM_001004058	OR8K5	olfactory receptor, family 8, subfamily K, member 5	hs|11q12.1
NM_001008529	MXRA7	matrix-remodelling associated 7	hs|17q25.1
NM_000460	THPO	thrombopoietin	hs|3q27.1
NM_012151	F8A1	coagulation factor VIII-associated 1	hs|Xq28
NM_000799	EPO	erythropoietin	hs|7q22.1
NM_001001555	GRB10	growth factor receptor-bound protein 10	hs|7p12.1
NM_017702	DEF8	differentially expressed in FDCP 8 homolog (mouse)	hs|16q24.3
TCONS_00020616	XLOC_009933		hs|12q24.31
DQ883659			
ENST00000454131	XLOC_008177		hs|Xq13.1
NM_002948	RPL15	ribosomal protein L15	hs|3p24.2
DQ459415			
ENST00000536349	MAN1B1	mannosidase, alpha, class 1B, member 1	hs|9q34.3
THC2676284			hs|5q15
NM_001033678	TRPT1	tRNA phosphotransferase 1	hs|11q13.1
ETG07_105829			
NM_021143	ZNF20	zinc finger protein 20	hs|19p13.2
NM_004087	DLG1	discs, large homolog 1 (Drosophila)	hs|3q29
NM_001123376	TMEM72	transmembrane protein 72	hs|10q11.21
TCONS_00000953	XLOC_000211		hs|1p32.2
NM_016308	CMPK1	cytidine monophosphate (UMP-CMP) kinase 1, cytosolic	hs|1p33
NM_001044305	SMAP1	small ArfGAP 1	hs|6q13
XM_001714987	ARMCX3-AS1	ARMCX3 antisense RNA 1 (non-protein coding)	hs|Xq22.1
XR_109927	LOC100506328	uncharacterized LOC100506328	hs|2q11.2
DQ459413			
NM_004559	YBX1	Y box binding protein 1	hs|1p34.2
NM_001001974	PLEKHA1	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 1	hs|10q26.13
NM_024841	PRR5L	proline rich 5 like	hs|11p12
ENST00000378653	CXorf30	chromosome X open reading frame 30	hs|Xp21.1
NM_006159	NELL2	NEL-like 2 (chicken)	hs|12q12
TCONS_l2_00017929	XLOC_l2_009492		hs|22q11.23
TCONS_00006506	XLOC_003114		hs|3p21.31
NM_015570	AUTS2	autism susceptibility candidate 2	hs|7q11.22
NM_001172773	ZNF548	zinc finger protein 548	hs|19q13.43
NM_024687	ZBBX	zinc finger, B-box domain containing	hs|3q26.1
TCONS_00005935	XLOC_002562		hs|3p26.3
NM_001481	GAS8	growth arrest-specific 8	hs|16q24.3
AK097122	XLOC_012444		hs|17q12
NM_032181	FAM176A	family with sequence similarity 176, member A	hs|2p12
TCONS_l2_00001461	XLOC_l2_001064		hs|1p13.1
NM_001001413	GOLGA6L1	golgin A6 family-like 1	hs|15q11.2
NM_003998	NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	hs|4q24
TCONS_00021865	XLOC_010460		hs|13q31.1
NM_004853	STX8	syntaxin 8	hs|17p13.1
NM_001033557	PPM1B	protein phosphatase, Mg2+/Mn2+ dependent, 1B	hs|2p21
NM_001266	CES1	carboxylesterase 1	hs|16q12.2
TCONS_00018145	XLOC_008424		hs|10p12.1
TCONS_l2_00025671	XLOC_l2_013282		hs|7p21.3
XM_002345581	ZNF806	zinc finger protein 806	hs|2q21.2
NM_006847	LILRB4	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 4	hs|19q13.42
NM_004580	RAB27A	RAB27A, member RAS oncogene family	hs|15q21.3
NM_005095	ZMYM4	zinc finger, MYM-type 4	hs|1p34.3
ENST00000299415			hs|17q22
NM_004618	TOP3A	topoisomerase (DNA) III alpha	hs|17p11.2
NM_001164440	ANKRD33B		hs|5p15.2
NM_002137	HNRNPA2B1	heterogeneous nuclear ribonucleoprotein A2/B1	hs|7p15.2
NR_024344	LOC283174	uncharacterized LOC283174	hs|11q25
THC2674454			hs|Xq22.1
NM_018584	CAMK2N1	calcium/calmodulin-dependent protein kinase II inhibitor 1	hs|1p36.12
NM_004391	CYP8B1	cytochrome P450, family 8, subfamily B, polypeptide 1	hs|3p22.1
NM_001038707	CDC42SE1	CDC42 small effector 1	hs|1q21.3
ENST00000485282	XLOC_006555		hs|7q22.3
NR_033753	FLJ43826	FLJ43826 protein	hs|17q12
ENST00000389399	XLOC_l2_009500		hs|22q11.23
DQ516748			
AK128388			hs|10q22.1
TCONS_00026990	XLOC_013039		hs|19q13.11
ENST00000314552			hs|4p16.3
XM_001720936	ZNF728	zinc finger protein 728	hs|19p12
NM_007353	GNA12	guanine nucleotide binding protein (G protein) alpha 12	hs|7p22.3
NM_006320	PGRMC2	progesterone receptor membrane component 2	hs|4q28.2
NM_001042633	SNX21	sorting nexin family member 21	hs|20q13.12
NM_001105206	LAMA4	laminin, alpha 4	hs|6q21
NM_138803	CCDC148	coiled-coil domain containing 148	hs|2q24.1
NR_038281	LOC100506994	uncharacterized LOC100506994	hs|3p14.2
NM_052998	ADC	arginine decarboxylase	hs|1p35.1
ENST00000413406	XLOC_006206		hs|7q31.1
NM_182704	SELV	selenoprotein V	hs|19q13.2
TCONS_00016111	XLOC_007499		hs|9q31.1
AK124361	LOC100131000	uncharacterized LOC100131000	hs|17q25.3
NM_002275	KRT15	keratin 15	hs|17q21.2
ENST00000388995	FAM83G	family with sequence similarity 83, member G	hs|17p11.2
NM_000232	SGCB	sarcoglycan, beta (43kDa dystrophin-associated glycoprotein)	hs|4q12
NM_020244	CHPT1	choline phosphotransferase 1	hs|12q23.2
NR_034062	LOC100131635	hCG1645011-like	hs|3q27.3
NM_000064	C3	complement component 3	hs|19p13.3
ENST00000391611	C14orf135	chromosome 14 open reading frame 135	hs|14q23.1
NM_144963	FAM91A1	family with sequence similarity 91, member A1	hs|8q24.13
AK123383	LOC642648	uncharacterized LOC642648	hs|22q13.31
NM_001160305	SETD6	SET domain containing 6	hs|16q21
NM_152536	FGD5	FYVE, RhoGEF and PH domain containing 5	hs|3p25.1
TCONS_l2_00021478	XLOC_l2_011413		hs|4q35.2
DQ516791			
ENST00000449746	XLOC_013865		hs|21q21.1
NR_034145	FLJ34690	uncharacterized protein FLJ34690	hs|17p12
THC2657073	XLOC_l2_007928		hs|2p24.1
AA378382	SNORA12	small nucleolar RNA, H/ACA box 12	hs|10q24.31
NM_032229	SLITRK6	SLIT and NTRK-like family, member 6	hs|13q31.1
NM_139246	TSTD2	thiosulfate sulfurtransferase (rhodanese)-like domain containing 2	hs|9q22.33
TCONS_00006602	XLOC_003209		hs|3q13.12
NM_006159	NELL2	NEL-like 2 (chicken)	hs|12q12
DQ883646			
NM_018150	RNF220	ring finger protein 220	hs|1p34.1
NR_027276	LOC100128239	uncharacterized LOC100128239	hs|11q25
TCONS_00012027	XLOC_005558		hs|6q27
NM_020863	ZFAT	zinc finger and AT hook domain containing	hs|8q24.22
A_33_P3385441			hs|6q14.1
AK096384	LOC284630	uncharacterized LOC284630	hs|1p36.32
CF127220	XLOC_007571		hs|9q34.11
NM_016362	GHRL	ghrelin/obestatin prepropeptide	hs|3p25.3
DQ883661			
ENST00000508977	XLOC_004160		hs|4q34.1
NM_020862	LRFN1	leucine rich repeat and fibronectin type III domain containing 1	hs|19q13.2
ENST00000444862	XLOC_009159		hs|11q13.1
NM_175857	KRTAP8-1	keratin associated protein 8-1	hs|21q22.11
NM_145276	ZNF563	zinc finger protein 563	hs|19p13.2
NM_002616	PER1	period homolog 1 (Drosophila)	hs|17p13.1
NM_000213	ITGB4	integrin, beta 4	hs|17q25.1
NM_001031628	SMAGP	small cell adhesion glycoprotein	hs|12q13.13
XR_110099	LOC100130547	uncharacterized LOC100130547	hs|9q34.3
DQ875386			
E1A_r60_a20			
XR_109206	LOC100130111	uncharacterized LOC100130111	hs|15q13.1
NM_024584	CCDC121	coiled-coil domain containing 121	hs|2p23.3
NM_017793	RPP25	ribonuclease P/MRP 25kDa subunit	hs|15q24.2
THC2548658	XLOC_010263		hs|12q24.33
NM_000251	MSH2	mutS homolog 2, colon cancer, nonpolyposis type 1 (E. coli)	hs|2p21
AK123230	LOC100130627	uncharacterized LOC100130627	hs|1p34.3
NM_001099289	SH3RF3	SH3 domain containing ring finger 3	hs|2q13
XR_108990	LOC100288449	uncharacterized LOC100288449	hs|9q31.3
NM_006693	CPSF4	cleavage and polyadenylation specific factor 4, 30kDa	hs|7q22.1
NM_001014446	OCIAD2	OCIA domain containing 2	hs|4p11
NM_033428	C9orf123	chromosome 9 open reading frame 123	hs|9p24.1
ENST00000413792	XLOC_002049		hs|2p22.2
NM_001798	CDK2	cyclin-dependent kinase 2	hs|12q13.2
NM_020922	WNK3	WNK lysine deficient protein kinase 3	hs|Xp11.22
NM_002478	MYOD1	myogenic differentiation 1	hs|11p15.1
XM_001725568	ZSCAN5D	zinc finger and SCAN domain containing 5D	hs|19q13.43
ENST00000366796	DACT2	dapper, antagonist of beta-catenin, homolog 2 (Xenopus laevis)	hs|6q27
NM_000447	PSEN2	presenilin 2 (Alzheimer disease 4)	hs|1q42.13
NM_033060	KRTAP4-1	keratin associated protein 4-1	hs|17q21.2
NM_152351	SLC5A10	solute carrier family 5 (sodium/glucose cotransporter), member 10	hs|17p11.2
TCONS_l2_00017670	XLOC_l2_009332		hs|22q12.1
NR_034178	SRGAP2P2	SLIT-ROBO Rho GTPase activating protein 2 pseudogene 2	hs|1q21.1
NM_004435	ENDOG	endonuclease G	hs|9q34.11
NM_001045556	SLA	Src-like-adaptor	hs|8q24.22
NM_019051	MRPL50	mitochondrial ribosomal protein L50	hs|9q31.1
NM_133376	ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)	hs|10p11.22
NM_001144933	EFCAB3	EF-hand calcium binding domain 3	hs|17q23.2
NM_001145095	HHLA1	HERV-H LTR-associating 1	hs|8q24.22
TCONS_00010163	XLOC_004626		hs|5q34
NR_027249	GNN	Grp94 neighboring nucleotidase pseudogene	hs|12q23.3
NM_015216	PPIP5K2	diphosphoinositol pentakisphosphate kinase 2	hs|5q21.1
